VALUE,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SEV_SOURCE,SEV_CONFIDENCE,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION,R,G,B,RED,GREEN,BLUE
781,2016,Wildland Fire Use,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire Use causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire Use LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
782,2016,Wildland Fire Use,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire Use causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire Use LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
783,2016,Wildland Fire Use,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire Use causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire Use LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
791,2016,Prescribed Fire,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Prescribed Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Prescribed Fire LANDFIRE Events Geodatabase 500 m buffer). ",173,0,28,0.6784,0,0.1098
792,2016,Prescribed Fire,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Prescribed Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Prescribed Fire LANDFIRE Events Geodatabase 500 m buffer). ",173,0,28,0.6784,0,0.1098
793,2016,Prescribed Fire,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Prescribed Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Prescribed Fire LANDFIRE Events Geodatabase 500 m buffer). ",173,0,28,0.6784,0,0.1098
801,2016,Wildland Fire,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
802,2016,Wildland Fire,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
803,2016,Wildland Fire,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
811,2016,Weather,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Weather causality likely, but could be other causality type than assigned (Image-based change detection pixels within Weather LANDFIRE Events Geodatabase 500 m buffer). ",191,191,191,0.749,0.749,0.749
812,2016,Weather,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Weather causality likely, but could be other causality type than assigned (Image-based change detection pixels within Weather LANDFIRE Events Geodatabase 500 m buffer). ",191,191,191,0.749,0.749,0.749
813,2016,Weather,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Weather causality likely, but could be other causality type than assigned (Image-based change detection pixels within Weather LANDFIRE Events Geodatabase 500 m buffer). ",191,191,191,0.749,0.749,0.749
821,2016,Insecticide,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insecticide causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insecticide LANDFIRE Events Geodatabase 500 m buffer). ",67,162,181,0.2627,0.6353,0.7098
822,2016,Insecticide,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insecticide causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insecticide LANDFIRE Events Geodatabase 500 m buffer). ",67,162,181,0.2627,0.6353,0.7098
823,2016,Insecticide,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insecticide causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insecticide LANDFIRE Events Geodatabase 500 m buffer). ",67,162,181,0.2627,0.6353,0.7098
831,2016,Chemical,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Chemical causality likely, but could be other causality type than assigned (Image-based change detection pixels within Chemical LANDFIRE Events Geodatabase 500 m buffer). ",255,255,0,1,1,0
832,2016,Chemical,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Chemical causality likely, but could be other causality type than assigned (Image-based change detection pixels within Chemical LANDFIRE Events Geodatabase 500 m buffer). ",255,255,0,1,1,0
833,2016,Chemical,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Chemical causality likely, but could be other causality type than assigned (Image-based change detection pixels within Chemical LANDFIRE Events Geodatabase 500 m buffer). ",255,255,0,1,1,0
841,2016,Insects,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects LANDFIRE Events Geodatabase 500 m buffer). ",146,232,215,0.5725,0.9098,0.8431
842,2016,Insects,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects LANDFIRE Events Geodatabase 500 m buffer). ",146,232,215,0.5725,0.9098,0.8431
843,2016,Insects,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects LANDFIRE Events Geodatabase 500 m buffer). ",146,232,215,0.5725,0.9098,0.8431
851,2016,Disease,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Disease LANDFIRE Events Geodatabase 500 m buffer). ",4,45,117,0.0157,0.1765,0.4588
852,2016,Disease,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Disease LANDFIRE Events Geodatabase 500 m buffer). ",4,45,117,0.0157,0.1765,0.4588
853,2016,Disease,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Disease LANDFIRE Events Geodatabase 500 m buffer). ",4,45,117,0.0157,0.1765,0.4588
861,2016,Insects/Disease,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects/Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects/Disease LANDFIRE Events Geodatabase 500 m buffer). ",0,0,255,0,0,1
862,2016,Insects/Disease,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects/Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects/Disease LANDFIRE Events Geodatabase 500 m buffer). ",0,0,255,0,0,1
863,2016,Insects/Disease,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects/Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects/Disease LANDFIRE Events Geodatabase 500 m buffer). ",0,0,255,0,0,1
871,2016,Herbicide,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Herbicide causality likely, but could be other causality type than assigned (Image-based change detection pixels within Herbicide LANDFIRE Events Geodatabase 500 m buffer). ",192,255,138,0.7529,1,0.5412
872,2016,Herbicide,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Herbicide causality likely, but could be other causality type than assigned (Image-based change detection pixels within Herbicide LANDFIRE Events Geodatabase 500 m buffer). ",192,255,138,0.7529,1,0.5412
873,2016,Herbicide,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Herbicide causality likely, but could be other causality type than assigned (Image-based change detection pixels within Herbicide LANDFIRE Events Geodatabase 500 m buffer). ",192,255,138,0.7529,1,0.5412
881,2016,Biological,Low,Low,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Biological causality likely, but could be other causality type than assigned (Image-based change detection pixels within Biological LANDFIRE Events Geodatabase 500 m buffer). ",0,51,0,0,0.2,0
882,2016,Biological,Low,Medium,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Biological causality likely, but could be other causality type than assigned (Image-based change detection pixels within Biological LANDFIRE Events Geodatabase 500 m buffer). ",0,51,0,0,0.2,0
883,2016,Biological,Low,High,dNBR (Std Dev Breaks),Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Biological causality likely, but could be other causality type than assigned (Image-based change detection pixels within Biological LANDFIRE Events Geodatabase 500 m buffer). ",0,51,0,0,0.2,0
910,2016,Development,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
911,2016,Development,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Development LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,191,191,191,0.74902,0.74902,0.74902
912,2016,Development,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
913,2016,Development,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
914,2016,Development,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
915,2016,Development,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
916,2016,Development,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
917,2016,Development,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Development LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska,191,191,191,0.74902,0.74902,0.74902
920,2016,Clearcut,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
921,2016,Clearcut,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,128,97,69,0.501961,0.380392,0.270588
922,2016,Clearcut,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
923,2016,Clearcut,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
924,2016,Clearcut,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
925,2016,Clearcut,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
926,2016,Clearcut,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
927,2016,Clearcut,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Clearcut LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,128,97,69,0.501961,0.380392,0.270588
930,2016,Harvest,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
931,2016,Harvest,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Harvest LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,255,255,119,1,1,0.466667
932,2016,Harvest,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
933,2016,Harvest,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
934,2016,Harvest,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
935,2016,Harvest,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
936,2016,Harvest,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
937,2016,Harvest,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Harvest LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,255,119,1,1,0.466667
940,2016,Thinning,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
941,2016,Thinning,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Thinning LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,181,156,114,0.709804,0.611765,0.447059
942,2016,Thinning,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
943,2016,Thinning,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
944,2016,Thinning,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
945,2016,Thinning,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
946,2016,Thinning,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
947,2016,Thinning,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Thinning LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,181,156,114,0.709804,0.611765,0.447059
950,2016,Mastication,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
951,2016,Mastication,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Mastication LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,255,102,0,1,0.4,0
952,2016,Mastication,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
953,2016,Mastication,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
954,2016,Mastication,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
955,2016,Mastication,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
956,2016,Mastication,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
957,2016,Mastication,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Mastication LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,102,0,1,0.4,0
960,2016,Other Mechanical,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
961,2016,Other Mechanical,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,96,255,71,0.376471,1,0.278431
962,2016,Other Mechanical,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
963,2016,Other Mechanical,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
964,2016,Other Mechanical,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
965,2016,Other Mechanical,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
966,2016,Other Mechanical,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
967,2016,Other Mechanical,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,96,255,71,0.376471,1,0.278431
970,2016,Wildfire,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
971,2016,Wildfire,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,255,0,0,1,0,0
972,2016,Wildfire,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
973,2016,Wildfire,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
974,2016,Wildfire,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
975,2016,Wildfire,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
976,2016,Wildfire,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
977,2016,Wildfire,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
980,2016,Wildland Fire Use,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
981,2016,Wildland Fire Use,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,255,0,0,1,0,0
982,2016,Wildland Fire Use,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
983,2016,Wildland Fire Use,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
984,2016,Wildland Fire Use,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
985,2016,Wildland Fire Use,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
986,2016,Wildland Fire Use,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
987,2016,Wildland Fire Use,High,High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Wildland Fire Use LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,255,0,0,1,0,0
990,2016,Prescribed Fire,High,No Severity,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
991,2016,Prescribed Fire,High,Low,dNBR (Std Dev Breaks),Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low,173,0,28,0.678431,0,0.109804
992,2016,Prescribed Fire,High,Low-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
993,2016,Prescribed Fire,High,Medium-Low,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
994,2016,Prescribed Fire,High,Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
995,2016,Prescribed Fire,High,Medium-High,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
996,2016,Prescribed Fire,High,High-Medium,Event attribute,Medium,LANDFIRE Events Geodatabase,NA,NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. Severity determined by Event attribute. Applicable only in Alaska.,173,0,28,0.678431,0,0.109804
