VALUE,NVC_NAME,LFRDB,LFLIFEFORM,NVC_CLASS,NVC_SUBCLASS,NVC_FORMATION,NVC_DIVISION,CLASS,SUBCLASS,FORMATION,DIVISION_CODE,DIVISION,MACROGROUP_CODE,MACROGROUP,Group_Code,GROUP,R,G,B,RED,GREEN,BLUE
6095,Sierra-Cascade Cold-Dry Subalpine Woodland,6095,Tree,1,1.B,1.B.2,1.B.2.Nd,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.2 Cool Temperate Forest & Woodland,D192,1.B.2.Nd Vancouverian Cool Temperate Forest,M025,Vancouverian Subalpine Forest,G243,Sierra-Cascade Cold-Dry Subalpine Woodland,163,240,219,0.639216,0.941176,0.858824
6096,Sierra-Cascade Red Fir-Mountain Hemlock Forest,6096,Tree,1,1.B,1.B.2,1.B.2.Nd,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.2 Cool Temperate Forest & Woodland,D192,1.B.2.Nd Vancouverian Cool Temperate Forest,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir-Mountain Hemlock Forest,0,158,0,0,0.619608,0
6097,Central & Appalachian Seepage Swamp,6097,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M503,Central & Appalachian Swamp Forest,G044,Central & Appalachian Seepage Swamp,91,195,199,0.356863,0.764706,0.780392
6098,North-Central Flatwoods & Swamp Forest,6098,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M503,Central & Appalachian Swamp Forest,G597,North-Central Flatwoods & Swamp Forest,91,195,199,0.356863,0.764706,0.780392
6099,South-Central Flatwoods & Pond Forest,6099,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M503,Central & Appalachian Swamp Forest,G654,South-Central Flatwoods & Pond Forest,145,255,115,0.568627,1,0.45098
6100,Northern & Central Great Plains Floodplain Forest,6100,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M028,Northern & Central Great Plains Floodplain Forest,G147,Northern & Central Great Plains Floodplain Forest,6,53,122,0.023529,0.207843,0.478431
6101,Silver Maple-Green Ash-Black Ash Floodplain Forest,6101,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M504,Northern Flooded & Swamp Forest,G653,Silver Maple-Green Ash-Black Ash Floodplain Forest,91,195,199,0.356863,0.764706,0.780392
6102,Silver Maple-Green Ash-Sycamore Floodplain Forest,6102,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M029,Central & Appalachian Floodplain Forest,G652,Silver Maple-Green Ash-Sycamore Floodplain Forest,0,92,0,0,0.360784,0
6103,Silver Maple-Sugarberry-Sweetgum Floodplain Forest,6103,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M029,Central & Appalachian Floodplain Forest,G673,Silver Maple-Sugarberry-Sweetgum Floodplain Forest,0,92,0,0,0.360784,0
6104,Northern Atlantic Coastal Hardwood & Conifer Swamp Forest,6104,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M504,Northern Flooded & Swamp Forest,G039,Northern Atlantic Coastal Hardwood & Conifer Swamp,0,92,0,0,0.360784,0
6105,Laurentian-Acadian-Allegheny Acidic Swamp,6105,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M504,Northern Flooded & Swamp Forest,G045,Northern Conifer & Hardwood Acidic Swamp,91,195,199,0.356863,0.764706,0.780392
6106,Laurentian-Acadian-Allegheny Alkaline Swamp,6106,Tree,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American & Great Plains Flooded & Swamp Forest,M504,Northern Flooded & Swamp Forest,G046,Laurentian-Acadian-Allegheny Alkaline Swamp,91,195,199,0.356863,0.764706,0.780392
6108,Pond-cypress Swamp,6108,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M161,Pond-cypress Basin Swamp,G036,Pond-cypress Basin Swamp,91,195,199,0.356863,0.764706,0.780392
6109,Coastal Plain Hardwood Basin Swamp,6109,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M033,Southern Coastal Plain Basin Swamp & Flatwoods,G038,Coastal Plain Hardwood Basin Swamp,216,216,191,0.847059,0.847059,0.74902
6110,Hardwood & Loblolly Pine Nonriverine Wet Flatwoods-Evergreen Modifier,6110,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M033,Southern Coastal Plain Basin Swamp & Flatwoods,G130,Nonriverine Wet Oak Flatwoods,100,204,206,0.392157,0.8,0.807843
6111,Coastal Plain Mixed Evergreen Swamp Forest,6111,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M032,Southern Coastal Plain Evergreen Hardwood & Conifer Swamp,G037,Coastal Plain Mixed Evergreen Swamp,216,216,191,0.847059,0.847059,0.74902
6112,Bald-cypress-Tupelo Floodplain Forest,6112,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M031,Southern Coastal Plain Floodplain Forest,G033,Bald-cypress-Tupelo Floodplain Forest,145,255,115,0.568627,1,0.45098
6113,Oak-Sweetgum Floodplain Forest,6113,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M031,Southern Coastal Plain Floodplain Forest,G034,Oak-Sweetgum Floodplain Forest,145,255,115,0.568627,1,0.45098
6115,Southern Ash-Elm-Willow Floodplain Forest,6115,Tree,1,1.B,1.B.3,1.B.3.Nb,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D062,1.B.3.Nb Southeastern North American Flooded & Swamp Forest,M031,Southern Coastal Plain Floodplain Forest,G759,Southern Ash-Elm-Willow Floodplain Forest,25,160,180,0.098039,0.627451,0.705882
6117,Rocky Mountain & Great Basin Montane Riparian Forest,6117,Tree,1,1.B,1.B.3,1.B.3.Nc,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D195,1.B.3.Nc Rocky Mountain & Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain & Great Basin Montane Riparian Forest,G506,Rocky Mountain & Great Basin Montane Riparian Forest,73,171,186,0.286275,0.670588,0.729412
6118,Rocky Mountain & Great Basin Swamp Forest,6118,Tree,1,1.B,1.B.3,1.B.3.Nc,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D195,1.B.3.Nc Rocky Mountain & Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain & Great Basin Montane Riparian Forest,G505,Rocky Mountain & Great Basin Swamp Forest,73,171,186,0.286275,0.670588,0.729412
6121,Tamaulipan Wet-Mesic Scrub Forest,6121,Tree,1,1.B,1.B.3,1.B.3.Nd,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D013,1.B.3.Nd Interior Lowland West Flooded & Swamp Forest,M036,Southwest Riparian Forest,G549,Tamaulipan Wet-Mesic Scrub Forest,81,180,141,0.317647,0.705882,0.552941
6122,North Pacific Lowland Riparian Forest & Woodland,6122,Tree,1,1.B,1.B.3,1.B.3.Ng,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D193,1.B.3.Ng Vancouverian Flooded & Swamp Forest,M035,Vancouverian Flooded & Swamp Forest,G254,North Pacific Lowland Riparian Forest & Woodland,67,162,181,0.262745,0.635294,0.709804
6123,North Pacific Maritime Hardwood-Conifer Swamp Forest,6123,Tree,1,1.B,1.B.3,1.B.3.Ng,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D193,1.B.3.Ng Vancouverian Flooded & Swamp Forest,M035,Vancouverian Flooded & Swamp Forest,G256,North Pacific Maritime Hardwood-Conifer Swamp,67,162,181,0.262745,0.635294,0.709804
6124,North Pacific Maritime Poor Fen & Bog Forest & Woodland,6124,Tree,2,2.C,2.C.2,2.C.2.Na,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,2.C.2 Temperate to Polar Bog & Fen Formation,,2.C.2.Na North American Bog & Fen Division,M063,North Pacific Bog & Fen Macrogroup,G610,North Pacific Maritime Wooded Bog & Poor Fen Group,133,39,8,0.521569,0.152941,0.031373
6125,North Pacific Montane Riparian Woodland,6125,Tree,1,1.B,1.B.3,1.B.3.Ng,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D193,1.B.3.Ng Vancouverian Flooded & Swamp Forest,M035,Vancouverian Flooded & Swamp Forest,G507,North Pacific Montane Riparian Woodland,67,162,181,0.262745,0.635294,0.709804
6129,Balsam Fir-Black Spruce Eastern Boreal Rich Swamp,6129,Tree,1,1.B,1.B.5,1.B.5.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.5 Boreal Flooded & Swamp Forest,D016,1.B.5.Na North American Boreal Flooded & Swamp Forest,M299,"North American Boreal Flooded, Swamp & Bog Forest",G051, Eastern Boreal Balsam Fir-Black Spruce Intermediate-Rich Swamp,186,163,119,0.729412,0.639216,0.466667
6130,Eastern Black Spruce-Tamarack Poor Swamp,6130,Tree,1,1.B,1.B.5,1.B.5.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.5 Boreal Flooded & Swamp Forest,D016,1.B.5.Na North American Boreal Flooded & Swamp Forest,M299,"North American Boreal Flooded, Swamp & Bog Forest",G050,Eastern Boreal Black Spruce-Tamarack Poor Swamp,186,163,119,0.729412,0.639216,0.466667
6131,Eastern Boreal Hardwood Floodplain & Swamp,6131,Tree,1,1.B,1.B.5,1.B.5.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.5 Boreal Flooded & Swamp Forest,D016,1.B.5.Na North American Boreal Flooded & Swamp Forest,M299,"North American Boreal Flooded, Swamp & Bog Forest",G052,Eastern Boreal Hardwood Floodplain & Swamp,50,137,168,0.196078,0.537255,0.658824
6132,Caribbean Coastal Cactus Scrub,6132,Shrub,2,2.A,2.A.1,2.A.1.Ea,2 Shrub & Herb Vegetation,"2.A Tropical Grassland, Savanna & Shrubland","2.A.1 Tropical Lowland Grassland, Savanna & Shrubland",D094,"2.A.1.Ea Caribbeo-Mesoamerican Lowland Shrubland, Grassland & Savanna",M671,Caribbean Dry Scrub,G485,Caribbean Coastal Cactus Scrub,145,255,115,0.568627,1,0.45098
6133,Caribbean Coastal Beach & Dune Herb Vegetation,6133,Herb,2,2.A,2.A.3,2.A.3.Ee,2 Shrub & Herb Vegetation,"2.A Tropical Grassland, Savanna & Shrubland",2.A.3 Tropical Scrub & Herb Coastal Vegetation,D254,2.A.3.Ee Caribbeo-Mesoamerican Dine & Coastal Grassland & Shrubland,M700,Caribbean & Mesoamerican Coastal Dune & Beach Vegetation,G127,Caribbean Coastal Beach & Dune Vegetation,100,100,100,0.392157,0.392157,0.392157
6134,Caribbean Coastal Rock Pavement & Cliff,6134,Sparse,2,2.A,2.A.3,2.A.3.Ee,2 Shrub & Herb Vegetation,"2.A Tropical Grassland, Savanna & Shrubland",2.A.3 Tropical Scrub & Herb Coastal Vegetation,D254,2.A.3.Ee Caribbeo-Mesoamerican Dine & Coastal Grassland & Shrubland,M700,Caribbean & Mesoamerican Coastal Dune & Beach Vegetation,G467,Caribbean Coastal Rocky Shore & Cliff,100,100,100,0.392157,0.392157,0.392157
6135,South Florida Freshwater Marsh,6135,Herb,2,2.C,2.C.3,2.C.3.Ef,2 Shrub & Herb Vegetation,2.C Shrub & Herb Wetland,"2.C.3 Tropical Freshwater Marsh, Wet Meadow & Shrubland",D262,"2.C.3.Ef Caribbeo-Mesoamerican Freshwater Marsh, Wet Meadow & Shrubland",M710,"Caribbean Freshwater Marsh, Wet Meadow & Shrubland",G129,South Florida Freshwater Marsh,255,153,0,1,0.6,0
6136,California Maritime Chaparral,6136,Shrub,2,2.B,2.B.1,2.B.1.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D020,2.B.1.Na Californian Scrub,M043,California Chaparral,G258,California Maritime Chaparral,107,77,54,0.419608,0.301961,0.211765
6137,California Mesic & Pre-montane Chaparral,6137,Shrub,2,2.B,2.B.1,2.B.1.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D020,2.B.1.Na Californian Scrub,M043,California Chaparral,G261,California Mesic & Pre-montane Chaparral,59,30,19,0.231373,0.117647,0.07451
6138,California Xeric Chaparral,6138,Shrub,2,2.B,2.B.1,2.B.1.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D020,2.B.1.Na Californian Scrub,M043,California Chaparral,G257,California Xeric Chaparral,99,69,47,0.388235,0.270588,0.184314
6139,California Coastal & Foothill Seral Scrub,6139,Shrub,2,2.B,2.B.1,2.B.1.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D020,2.B.1.Na Californian Scrub,M044,California Coastal Scrub,G782,California Coastal & Foothill Seral Scrub,201,116,30,0.788235,0.454902,0.117647
6140,California North Coastal & Mesic Scrub,6140,Shrub,2,2.B,2.B.1,2.B.1.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D020,2.B.1.Na Californian Scrub,M044,California Coastal Scrub,G662,California North Coastal & Mesic Scrub,201,116,30,0.788235,0.454902,0.117647
6141,Central & Southern California Coastal Sage Scrub,6141,Shrub,2,2.B,2.B.1,2.B.1.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D020,2.B.1.Na Californian Scrub,M044,California Coastal Scrub,G264,Central & Southern California Coastal Sage Scrub,166,139,107,0.65098,0.545098,0.419608
6143,California Native Perennial Grassland,6143,Herb,2,2.B,2.B.1,2.B.1.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.1 Mediterranean Scrub & Grassland,D021,2.B.1.Nb California Grassland & Meadow,M045,California Annual & Perennial Grassland,G496,California Native Perennial Grassland,255,235,153,1,0.921569,0.6
6144,Central Rocky Mountain High Montane Mesic Shrubland,6144,Shrub,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G305,Central Rocky Mountain High Montane Mesic Shrubland,128,97,69,0.501961,0.380392,0.270588
6145,Central Rocky Mountain Lower Montane Foothill & Valley Grassland,6145,Herb,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G273,Central Rocky Mountain Lower Montane Foothill & Valley Grassland,255,198,107,1,0.776471,0.419608
6146,Central Rocky Mountain Montane Grassland,6146,Herb,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G267,Central Rocky Mountain Montane Grassland,255,184,97,1,0.721569,0.380392
6147,Central Rocky Mountain Montane-Foothill Deciduous Shrubland,6147,Shrub,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G272,Central Rocky Mountain Montane-Foothill Deciduous Shrubland,117,87,61,0.458824,0.341176,0.239216
6149,Rocky Mountain Subalpine-Montane Mesic Herbaceous Meadow,6149,Herb,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M168,Rocky Mountain & Vancouverian Subalpine-High Montane Mesic Meadow,G271,Rocky Mountain Subalpine-Montane Mesic Herbaceous Meadow,255,163,82,1,0.639216,0.321569
6151,Southern Rocky Mountain Montane-Subalpine Grassland,6151,Herb,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M168,Rocky Mountain & Vancouverian Subalpine-High Montane Mesic Meadow,G268,Southern Rocky Mountain Montane-Subalpine Grassland,171,145,106,0.670588,0.568627,0.415686
6152,Southern Rocky Mountain Gambel Oak-Mixed Montane Shrubland,6152,Shrub,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M049,Southern Rocky Mountain Montane Shrubland,G277,Southern Rocky Mountain Gambel Oak-Mixed Montane Shrubland,245,175,54,0.960784,0.686275,0.211765
6153,Southern Rocky Mountain Mountain-mahogany-Mixed Foothill Shrubland,6153,Shrub,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M049,Southern Rocky Mountain Montane Shrubland,G276,Southern Rocky Mountain Mountain-mahogany-Mixed Foothill Shrubland,117,87,61,0.458824,0.341176,0.239216
6154,Southern Vancouverian Shrub & Herbaceous Bald Bluff & Prairie,6154,Herb,2,2.B,2.B.2,2.B.2.Na,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D022,2.B.2.Na Western North American Grassland & Shrubland,M050,Southern Vancouverian Lowland Grassland & Shrubland,G488,Southern Vancouverian Shrub & Herbaceous Bald Bluff & Prairie,203,255,171,0.796078,1,0.670588
6155,Central Great Plains Mixedgrass Prairie,6155,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G133,Central Great Plains Mixedgrass Prairie,255,241,140,1,0.945098,0.54902
6156,Northern Great Plains Dry Mixedgrass Prairie,6156,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G331,Northern Great Plains Dry Mixedgrass Prairie,122,93,65,0.478431,0.364706,0.254902
6157,Northern Great Plains Mesic Mixedgrass Prairie Grassland,6157,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G141,Northern Great Plains Mixedgrass Prairie,122,93,65,0.478431,0.364706,0.254902
6159,Great Plains Sand Grassland,6159,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M052,Great Plains Sand Grassland & Shrubland,G068,Great plains Sand Grassland,255,148,71,1,0.580392,0.278431
6160,Great Plains Sand Shrubland,6160,Shrub,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M052,Great Plains Sand Grassland & Shrubland,G069,Great Plains Sand Shrubland,112,82,57,0.439216,0.321569,0.223529
6161,Great Plains Shortgrass Prairie,6161,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M053,Great Plains Shortgrass Prairie,G144,Great Plains Shortgrass Prairie,150,123,89,0.588235,0.482353,0.34902
6163,Central Great Plains Tallgrass Prairie,6163,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M054,Great Plains Tallgrass Prairie,G333,Central Great Plains Tallgrass Prairie,255,137,64,1,0.537255,0.25098
6164,Northern Great Plains Tallgrass Prairie,6164,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M054,Great Plains Tallgrass Prairie,G075,Northern Great Plains Tallgrass Prairie,255,137,64,1,0.537255,0.25098
6165,Sand & Gravel Tallgrass Prairie,6165,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M054,Great Plains Tallgrass Prairie,G151,Sand & Gravel Tallgrass Prairie,255,137,64,1,0.537255,0.25098
6166,South-Central Plains & Coastal Prairie,6166,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M054,Great Plains Tallgrass Prairie,G335,South-Central Plains & Coastal Prairie,255,148,71,1,0.580392,0.278431
6167,Southern Great Plains Tallgrass Prairie,6167,Herb,2,2.B,2.B.2,2.B.2.Nb,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D023,2.B.2.Nb Great Plains Grassland & Shrubland,M054,Great Plains Tallgrass Prairie,G334,Southern Great Plains Tallgrass Prairie,255,137,64,1,0.537255,0.25098
6169,Central & Southern Appalachian Rocky Outcrop Shrubland,6169,Shrub,2,2.B,2.B.2,2.B.2.Nc,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D024,2.B.2.Nc Eastern North American Grassland & Shrubland,M506,Appalachian Rocky Felsic & Mafic Scrub & Grassland,G670,Central & Southern Appalachian Rocky Outcrop,82,52,34,0.321569,0.203922,0.133333
6170,Piedmont Dome & Flatrock Vegetation,6170,Shrub,2,2.B,2.B.2,2.B.2.Nc,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D024,2.B.2.Nc Eastern North American Grassland & Shrubland,M509,Central Interior Acidic Scrub & Grassland,G671,Piedmont Dome & Flatrock Vegetation,255,148,71,1,0.580392,0.278431
6171,Southern Appalachian Grass Bald,6171,Herb,2,2.B,2.B.2,2.B.2.Nc,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D024,2.B.2.Nc Eastern North American Grassland & Shrubland,M506,Appalachian Rocky Felsic & Mafic Scrub & Grassland,G657,Southern Appalachian Grass Bald,82,52,34,0.321569,0.203922,0.133333
6172,Southern Appalachian Shrub Bald,6172,Shrub,2,2.B,2.B.2,2.B.2.Nc,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D024,2.B.2.Nc Eastern North American Grassland & Shrubland,M506,Appalachian Rocky Felsic & Mafic Scrub & Grassland,G658,Southern Appalachian Shrub Bald,82,52,34,0.321569,0.203922,0.133333
6173,Central Acidic Open Glade & Barrens Grassland,6173,Herb,2,2.B,2.B.2,2.B.2.Nc,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D024,2.B.2.Nc Eastern North American Grassland & Shrubland,M509,Central Interior Acidic Scrub & Grassland,G178,Central Interior Acidic Open Glade & Barrens,255,148,71,1,0.580392,0.278431
6174,Appalachian Mafic Glade Woodland,6174,Tree,2,2.B,2.B.2,2.B.2.Nc,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.2 Temperate Grassland,D024,2.B.2.Nc Eastern North American Grassland & Shrubland,M506,Appalachian Rocky Felsic & Mafic Scrub & Grassland,G180,Appalachian Mafic Glade,82,52,34,0.321569,0.203922,0.133333
